NR_KONTA,SEGMENT,OBSZAR,REJON,CZAS_ZYCIA_KLIENTA,WARTOSC_FV
10407281,Os. Prywatna,Zachodni,Kalisz,1750,80.84
10168938,Os. Prywatna,Pólnocny,Torun,1433,74.66
42461902,Os. Prywatna,Poludniowy,Katowice Zachód,642,248
43172529,SOHO,Centralno-Wschodni,Lublin,61,85.4
42175523,SOHO,Pólnocny,Bydgoszcz,392,3122.4
42175523,SOHO,Pólnocny,Bydgoszcz,1793,287.84
42617190,Os. Prywatna,Zachodni,Kalisz,488,217.98
10171192,SOHO,Pólnocny,Torun,2927,77.6
20068137,Os. Prywatna,Poludniowy,Katowice Wschód,2924,99.5
42470950,Os. Prywatna,Poludniowy,Opole,279,110
42470950,Os. Prywatna,Poludniowy,Opole,462,110
20329363,Business4,Centralno-Wschodni,Warszawa,2132,1519.08
10077845,Business2,Poludniowy,Katowice Wschód,3095,4697.96
42116695,SOHO,Poludniowy,Katowice Wschód,794,47.5
42330557,Os. Prywatna,Zachodni,Poznan,609,205.32
20156002,Os. Prywatna,Poludniowy,Katowice Zachód,2042,113.12
20156002,Os. Prywatna,Poludniowy,Katowice Zachód,2560,131.12
20156002,Os. Prywatna,Poludniowy,Katowice Zachód,2742,123.26
42284840,Business1,Pólnocny,Torun,1065,1538.52
20067735,Os. Prywatna,Poludniowy,Katowice Zachód,2865,238.26
20102655,Os. Prywatna,Pólnocny,Gdansk,2376,217.46
42175523,SOHO,Pólnocny,Bydgoszcz,424,1928.24
20052005,SOHO,Pólnocny,Gdansk,1617,72.46
42674545,Os. Prywatna,Centralno-Wschodni,Warszawa,61,98
30111935,SOHO,Centralno-Wschodni,Warszawa,506,366
20447253,Os. Prywatna,Poludniowy,Opole,367,95.8
20447253,Os. Prywatna,Poludniowy,Opole,641,160.58
20447253,Os. Prywatna,Poludniowy,Opole,732,131.8
20447253,Os. Prywatna,Poludniowy,Opole,1067,114.56
20447253,Os. Prywatna,Poludniowy,Opole,1313,116.9
20447253,Os. Prywatna,Poludniowy,Opole,1402,115.94
20447253,Os. Prywatna,Poludniowy,Opole,2012,142.52
26132056,Os. Prywatna,Pólnocny,Bydgoszcz,1969,139.84
42403977,Os. Prywatna,Pólnocny,Torun,393,92.5
10037862,Os. Prywatna,Poludniowy,Katowice Wschód,1755,200.6
42486413,Os. Prywatna,Centralno-Wschodni,Warszawa,183,110
10320881,Os. Prywatna,Centralno-Wschodni,Lublin,1940,124.58
10413388,Os. Prywatna,Zachodni,Kalisz,3028,66.78
10502105,SOHO,Poludniowy,Katowice Zachód,1948,357.14
10074170,Os. Prywatna,Poludniowy,Katowice Zachód,2182,65.84
42367240,SOHO,Centralno-Wschodni,Lublin,547,1697.28
42202355,Os. Prywatna,Poludniowy,Katowice Wschód,883,166.4
42202355,Os. Prywatna,Poludniowy,Katowice Wschód,1157,59.54
10317852,Os. Prywatna,Centralno-Wschodni,Lublin,1729,79.88
10317852,Os. Prywatna,Centralno-Wschodni,Lublin,1973,72.42
42758166,SOHO,Poludniowy,Opole,28,193.32
10002839,Os. Prywatna,Centralno-Wschodni,Warszawa,1943,270.8
42489357,Business2,Poludniowy,Opole,279,128
42489357,Business2,Poludniowy,Opole,462,268.4
42170951,Os. Prywatna,Pólnocny,Torun,944,101.92
20178637,Os. Prywatna,Poludniowy,Katowice Wschód,1187,153.72
20178637,Os. Prywatna,Poludniowy,Katowice Wschód,1279,125.18
20178637,Os. Prywatna,Poludniowy,Katowice Wschód,2224,124.44
42855518,Os. Prywatna,Pólnocny,Torun,121,118
42575211,Os. Prywatna,Poludniowy,Opole,0,117.6
42454670,Os. Prywatna,Pólnocny,Gdansk,518,110
42504862,Os. Prywatna,Poludniowy,Katowice Zachód,122,88.6
42902031,Os. Prywatna,Pólnocny,Torun,182,98
20321496,Os. Prywatna,Poludniowy,Katowice Wschód,2193,59.24
20321496,Os. Prywatna,Poludniowy,Katowice Wschód,2528,62.02
42762467,Os. Prywatna,Centralno-Wschodni,Warszawa,0,141.74
10312781,Os. Prywatna,Centralno-Wschodni,Lublin,1973,177.14
10312781,Os. Prywatna,Centralno-Wschodni,Lublin,2399,129.2
10172917,Os. Prywatna,Pólnocny,Torun,3413,148.76
42614845,Os. Prywatna,Poludniowy,Katowice Zachód,455,98
42772889,Os. Prywatna,Centralno-Wschodni,Warszawa,91,138
24346575,Os. Prywatna,Pólnocny,Bydgoszcz,3251,151.92
24346575,Os. Prywatna,Pólnocny,Bydgoszcz,3404,160.84
10200154,SOHO,Pólnocny,Gdansk,2020,315.56
10441958,Os. Prywatna,Zachodni,Pila,3218,143.4
20051140,Os. Prywatna,Pólnocny,Gdansk,1646,349.8
20051140,Os. Prywatna,Pólnocny,Gdansk,1708,258.78
42248729,SOHO,Centralno-Wschodni,Warszawa,30,392.36
42248729,SOHO,Centralno-Wschodni,Warszawa,575,392.36
43046778,Os. Prywatna,Pólnocny,Torun,120,108
42415515,Business1,Poludniowy,Opole,426,48.8
10005016,Os. Prywatna,Centralno-Wschodni,Warszawa,3251,84.18
20226013,SOHO,Pólnocny,Gdansk,1191,340.12
20226013,SOHO,Pólnocny,Gdansk,2529,365.52
10161567,Os. Prywatna,Pólnocny,Torun,2014,105.02
42903004,Os. Prywatna,Centralno-Wschodni,Warszawa,30,58
42615190,Os. Prywatna,Centralno-Wschodni,Warszawa,121,98
10402886,Os. Prywatna,Zachodni,Kalisz,1750,54.16
20330626,Os. Prywatna,Pólnocny,Gdansk,1189,314.84
20411754,Os. Prywatna,Zachodni,Poznan,854,300.04
20411754,Os. Prywatna,Zachodni,Poznan,2165,317.76
10087869,Os. Prywatna,Poludniowy,Katowice Zachód,2882,212.64
10168938,Os. Prywatna,Pólnocny,Torun,1985,277.92
20115845,Os. Prywatna,Pólnocny,Gdansk,1065,213.74
20115845,Os. Prywatna,Pólnocny,Gdansk,1463,276.2
20006896,Os. Prywatna,Pólnocny,Gdansk,1584,135.52
42618291,SOHO,Zachodni,Kalisz,58,76.3
20017839,Os. Prywatna,Centralno-Wschodni,Lublin,2286,66.2
42175523,SOHO,Pólnocny,Bydgoszcz,0,1383.52
42175523,SOHO,Pólnocny,Bydgoszcz,1337,146.4
42175523,SOHO,Pólnocny,Bydgoszcz,1764,237.5
20042586,Os. Prywatna,Centralno-Wschodni,Lublin,2740,190.76
10415714,Os. Prywatna,Zachodni,Kalisz,2114,94.02
42389099,Os. Prywatna,Poludniowy,Opole,32,160.78
24297369,Os. Prywatna,Pólnocny,Bydgoszcz,3531,143.08
42348632,SOHO,Poludniowy,Katowice Wschód,758,98.38
42758520,Os. Prywatna,Centralno-Wschodni,Warszawa,121,138
42470950,Os. Prywatna,Poludniowy,Opole,370,110
42789704,Os. Prywatna,Poludniowy,Opole,303,138
10038669,Os. Prywatna,Poludniowy,Katowice Wschód,2700,135.16
42336321,Os. Prywatna,Pólnocny,Bydgoszcz,1187,171.68
20329363,Business4,Centralno-Wschodni,Warszawa,2040,1368.58
20052005,SOHO,Pólnocny,Gdansk,1188,155.88
20052005,SOHO,Pólnocny,Gdansk,1677,227.72
42330557,Os. Prywatna,Zachodni,Poznan,759,281.58
42360951,Os. Prywatna,Centralno-Wschodni,Lublin,29,80.38
10300899,Os. Prywatna,Poludniowy,Katowice Wschód,2133,84.18
42315894,Os. Prywatna,Poludniowy,Katowice Wschód,0,201.26
26203370,Os. Prywatna,Pólnocny,Bydgoszcz,1936,308.22
26203370,Os. Prywatna,Pólnocny,Bydgoszcz,2272,299.86
26203370,Os. Prywatna,Pólnocny,Bydgoszcz,2302,349.46
42367240,SOHO,Centralno-Wschodni,Lublin,822,929.6
42367240,SOHO,Centralno-Wschodni,Lublin,1008,965.58
42170951,Os. Prywatna,Pólnocny,Torun,1036,95.5
42170951,Os. Prywatna,Pólnocny,Torun,1707,193.76
10312781,Os. Prywatna,Centralno-Wschodni,Lublin,3191,81.26
10048127,Os. Prywatna,Poludniowy,Katowice Wschód,1971,118.54
42613794,Os. Prywatna,Pólnocny,Gdansk,455,98
26133690,Os. Prywatna,Pólnocny,Bydgoszcz,2064,129.3
42175523,SOHO,Pólnocny,Bydgoszcz,245,1082.32
10037862,Os. Prywatna,Poludniowy,Katowice Wschód,1573,138.96
20266259,SOHO,Poludniowy,Kraków,1097,154.34
20266259,SOHO,Poludniowy,Kraków,1858,164.22
20266259,SOHO,Poludniowy,Kraków,2376,152.74
42460902,Os. Prywatna,Centralno-Wschodni,Warszawa,489,88.6
42651022,Os. Prywatna,Poludniowy,Katowice Zachód,397,98
20508392,Os. Prywatna,Poludniowy,Katowice Wschód,153,92.7
20447253,Os. Prywatna,Poludniowy,Opole,199,129.46
20447253,Os. Prywatna,Poludniowy,Opole,227,116.9
20447253,Os. Prywatna,Poludniowy,Opole,250,72.02
20447253,Os. Prywatna,Poludniowy,Opole,277,144.7
20447253,Os. Prywatna,Poludniowy,Opole,673,93.12
20447253,Os. Prywatna,Poludniowy,Opole,702,144.82
20447253,Os. Prywatna,Poludniowy,Opole,824,153.38
20447253,Os. Prywatna,Poludniowy,Opole,918,174.78
20447253,Os. Prywatna,Poludniowy,Opole,1037,187.02
20447253,Os. Prywatna,Poludniowy,Opole,1131,96.56
20447253,Os. Prywatna,Poludniowy,Opole,1221,119.54
20447253,Os. Prywatna,Poludniowy,Opole,1464,175.68
20447253,Os. Prywatna,Poludniowy,Opole,1494,210.02
20447253,Os. Prywatna,Poludniowy,Opole,1737,127.96
20447253,Os. Prywatna,Poludniowy,Opole,2103,112.72
20447253,Os. Prywatna,Poludniowy,Opole,2194,131.46
20447253,Os. Prywatna,Poludniowy,Opole,2256,173.2
20447253,Os. Prywatna,Poludniowy,Opole,2409,120.04
42080093,Os. Prywatna,Poludniowy,Katowice Wschód,125,134.82
20047135,Os. Prywatna,Poludniowy,Katowice Wschód,3318,163.72
42577091,Os. Prywatna,Poludniowy,Opole,0,259.94
42806296,Os. Prywatna,Pólnocny,Gdansk,396,118
20078408,SOHO,Poludniowy,Katowice Zachód,3167,204.32
10037862,Os. Prywatna,Poludniowy,Katowice Wschód,1299,165.08
10037862,Os. Prywatna,Poludniowy,Katowice Wschód,1390,225.56
10037862,Os. Prywatna,Poludniowy,Katowice Wschód,1481,131.34
42832232,Os. Prywatna,Poludniowy,Katowice Zachód,213,118
42486413,Os. Prywatna,Centralno-Wschodni,Warszawa,213,110
10010023,Os. Prywatna,Centralno-Wschodni,Warszawa,2402,193.56
10320881,Os. Prywatna,Centralno-Wschodni,Lublin,2154,117.86
10320881,Os. Prywatna,Centralno-Wschodni,Lublin,2639,139.08
10413388,Os. Prywatna,Zachodni,Kalisz,2022,70.58
10413388,Os. Prywatna,Zachodni,Kalisz,2875,80.48
10413388,Os. Prywatna,Zachodni,Kalisz,3422,65.84
42220944,Os. Prywatna,Pólnocny,Gdansk,0,142.4
42220944,Os. Prywatna,Pólnocny,Gdansk,150,135.32
42265557,Os. Prywatna,Zachodni,Pila,89,40.88
42265557,Os. Prywatna,Zachodni,Pila,1125,40.02
42265557,Os. Prywatna,Zachodni,Pila,1306,40.02
20237759,Os. Prywatna,Poludniowy,Katowice Wschód,2893,62.46
20081926,Os. Prywatna,Zachodni,Poznan,2438,110.48
42793147,Os. Prywatna,Centralno-Wschodni,Lublin,334,98
10339132,Os. Prywatna,Centralno-Wschodni,Lublin,1874,53.32
10502105,SOHO,Poludniowy,Katowice Zachód,3438,102.12
20055070,Os. Prywatna,Poludniowy,Katowice Zachód,3228,49.14
20024225,Os. Prywatna,Centralno-Wschodni,Lublin,3382,50.02
20073588,Os. Prywatna,Zachodni,Kalisz,1312,225.28
20073588,Os. Prywatna,Zachodni,Kalisz,1495,226.1
10430704,Os. Prywatna,Zachodni,Poznan,3433,191.4
10433728,Os. Prywatna,Zachodni,Poznan,1635,105.78
10074170,Os. Prywatna,Poludniowy,Katowice Zachód,2091,76.3
10074170,Os. Prywatna,Poludniowy,Katowice Zachód,2943,75.56
10074170,Os. Prywatna,Poludniowy,Katowice Zachód,3278,96.14
10074170,Os. Prywatna,Poludniowy,Katowice Zachód,3309,96.94
10067774,Os. Prywatna,Poludniowy,Katowice Zachód,3035,180.78
10075887,SOHO,Poludniowy,Katowice Wschód,3518,246.04
42171676,SOHO,Zachodni,Poznan,1217,46.36
42171676,SOHO,Zachodni,Poznan,1764,46.36
42987514,Os. Prywatna,Pólnocny,Gdansk,306,40
20448206,Os. Prywatna,Poludniowy,Katowice Zachód,2469,69.78
42367240,SOHO,Centralno-Wschodni,Lublin,364,1395.56
42367240,SOHO,Centralno-Wschodni,Lublin,640,1265.18
42397977,SOHO,Pólnocny,Bydgoszcz,121,48.8
42397977,SOHO,Pólnocny,Bydgoszcz,884,48.8
42202355,Os. Prywatna,Poludniowy,Katowice Wschód,0,48.8
42202355,Os. Prywatna,Poludniowy,Katowice Wschód,34,503.72
42202355,Os. Prywatna,Poludniowy,Katowice Wschód,92,297.72
42202355,Os. Prywatna,Poludniowy,Katowice Wschód,184,254.98
42202355,Os. Prywatna,Poludniowy,Katowice Wschód,730,100.6
42202355,Os. Prywatna,Poludniowy,Katowice Wschód,791,139.98
42202355,Os. Prywatna,Poludniowy,Katowice Wschód,853,121.46
42202355,Os. Prywatna,Poludniowy,Katowice Wschód,1219,51.46
42316222,Os. Prywatna,Zachodni,Pila,729,47.32
10317852,Os. Prywatna,Centralno-Wschodni,Lublin,1915,86.24
10317852,Os. Prywatna,Centralno-Wschodni,Lublin,2583,60.7
10317852,Os. Prywatna,Centralno-Wschodni,Lublin,3436,66.46
42154719,Os. Prywatna,Pólnocny,Gdansk,820,194.2
26128017,Os. Prywatna,Pólnocny,Bydgoszcz,2091,229.16
42356426,Business2,Poludniowy,Kraków,148,815.3
42356426,Business2,Poludniowy,Kraków,181,633.18
42489357,Business2,Poludniowy,Opole,249,128
42489357,Business2,Poludniowy,Opole,370,268.4
20395254,SOHO,Poludniowy,Opole,946,794.86
20395254,SOHO,Poludniowy,Opole,1493,500.2
42170951,Os. Prywatna,Pólnocny,Torun,1491,205.3
42170951,Os. Prywatna,Pólnocny,Torun,1826,221.22
42991456,Os. Prywatna,Zachodni,Kalisz,123,203.52
10056338,Os. Prywatna,Poludniowy,Katowice Wschód,3495,114.64
42649096,SOHO,Centralno-Wschodni,Warszawa,516,98
42226418,SOHO,Poludniowy,Katowice Wschód,881,837.44
20178637,Os. Prywatna,Poludniowy,Katowice Wschód,943,113.42
