Rating klienta,Stan konta,Okres,Historia,Cel,Kwota,Suma aktywów,Zatrudnienie,Rata,Stan,Płeć,Zamieszkanie,Zabezpieczenie,Wiek,Inne kredyty,Mieszkanie,Liczba kredytów,Stanowisko,Próba
dobry,>$300,24,brak,inny,10350.2,brak,1 do 5 lat,> 35,MS,m,>8 lat,samochód,41,brak,wynajem,jeden,niewykfalifikowany stała praca,Test
zły,brak,16,spłacone,inny,3675,brak,Ponad 8,25-35,MS,m,>8 lat,samochód,41,brak,inne,jeden,wykfalifikowany,Uczenie
zły,brak,12,brak,RTV,1037.4,<140,bezrobotny,< 15,K,k,5-8 lat,samochód,20,brak,wynajem,jeden,wykfalifikowany,Test
dobry,>$300,9,spłacone,inny,2987.6,brak,1 do 5 lat,< 15,MS,m,>8 lat,polisa,46,brak,wynajem,5- 6,wykfalifikowany,Test
zły,>$300,27,brak,inny,3598,brak,1 do 5 lat,15- 25,K,k,5-8 lat,brak,19,brak,inne,jeden,wykfalifikowany,Test
dobry,>$300,6,spłacone,meble,1934.8,brak,1 do 5 lat,> 35,K,k,Do roku,polisa,26,brak,wynajem,2- 4,wykfalifikowany,Test
zły,brak,42,brak,meble,5551,brak,do roku,< 15,MS,m,5-8 lat,polisa,32,brak,wynajem,jeden,wykfalifikowany,Test
dobry,<= $300,12,brak,meble,2633.4,brak,1 do 5 lat,25-35,K,k,1-5 lat,polisa,42,brak,inne,jeden,niewykfalifikowany stała praca,Test
dobry,debet,9,brak,meble,2965.2,brak,1 do 5 lat,25-35,MS,m,1-5 lat,brak,35,brak,wynajem,jeden,niewykfalifikowany stała praca,Test
dobry,>$300,15,bez problemów,meble,2069.2,brak,1 do 5 lat,< 15,MŻW,m,5-8 lat,brak,31,inny bank,wynajem,2- 4,wykfalifikowany,Test
dobry,>$300,24,brak,nowy samochód,3738,brak,Ponad 8,< 15,MS,m,>8 lat,polisa,33,brak,wynajem,jeden,specjalista/samozatr.,Uczenie
dobry,debet,12,brak,rehabilitacja,1177.4,<140,5 do 8 lat,25-35,K,k,>8 lat,brak,21,brak,inne,jeden,niewykfalifikowany stała praca,Test
dobry,>$300,15,brak,inny,7453.6,140-700,Ponad 8,> 35,K,k,>8 lat,nieruchomość,33,brak,własne,jeden,wykfalifikowany,Uczenie
dobry,brak,27,brak,meble,4782.4,brak,1 do 5 lat,15- 25,MS,m,1-5 lat,polisa,25,brak,wynajem,jeden,specjalista/samozatr.,Uczenie
dobry,debet,10,brak,używany samochód,2129.4,brak,1 do 5 lat,< 15,MR,m,1-5 lat,polisa,29,brak,wynajem,jeden,niewykfalifikowany stała praca,Uczenie
zły,brak,18,brak,inny,1702.4,brak,do roku,< 15,K,k,5-8 lat,polisa,21,brak,inne,jeden,wykfalifikowany,Uczenie
dobry,<= $300,24,spłacone,meble,4407.2,>1400,1 do 5 lat,15- 25,MS,m,1-5 lat,polisa,29,brak,wynajem,2- 4,wykfalifikowany,Uczenie
zły,debet,24,brak,nowy samochód,5758.2,140-700,do roku,15- 25,K,k,>8 lat,polisa,26,brak,inne,jeden,wykfalifikowany,Test
dobry,>$300,24,brak,inny,1748.6,brak,do roku,< 15,MŻW,m,1-5 lat,brak,26,brak,wynajem,jeden,wykfalifikowany,Uczenie
dobry,>$300,6,brak,używany samochód,4169.2,140-700,1 do 5 lat,> 35,MS,m,1-5 lat,polisa,30,brak,wynajem,jeden,wykfalifikowany,Test
zły,>$300,12,spłacone,rehabilitacja,3208.8,brak,bezrobotny,< 15,MS,m,1-5 lat,polisa,40,sklep,wynajem,2- 4,specjalista/samozatr.,Test
dobry,>$300,12,spłacone,rehabilitacja,1769.6,>1400,Ponad 8,< 15,MS,m,>8 lat,nieruchomość,55,brak,inne,jeden,niewykfalifikowany stała praca,Uczenie
dobry,>$300,18,spłacone,używany samochód,5292,brak,do roku,15- 25,MR,m,1-5 lat,polisa,33,brak,wynajem,2- 4,specjalista/samozatr.,Test
dobry,>$300,15,brak,inny,4460.4,700-1400,5 do 8 lat,25-35,K,k,5-8 lat,polisa,18,brak,inne,jeden,wykfalifikowany,Uczenie
dobry,>$300,60,brak,inny,14512.4,brak,Ponad 8,25-35,MS,m,>8 lat,samochód,40,brak,wynajem,jeden,specjalista/samozatr.,Uczenie
dobry,>$300,18,spłacone,meble,8498,brak,Ponad 8,15- 25,MS,m,>8 lat,polisa,31,brak,wynajem,2- 4,wykfalifikowany,Uczenie
dobry,>$300,24,spłacone,nowy samochód,8125.6,700-1400,1 do 5 lat,< 15,MS,m,1-5 lat,brak,25,brak,wynajem,2- 4,wykfalifikowany,Uczenie
dobry,brak,24,brak,używany samochód,10809.4,>1400,do roku,> 35,K,k,1-5 lat,samochód,28,brak,wynajem,jeden,wykfalifikowany,Test
dobry,>$300,6,spłacone,inny,350,700-1400,1 do 5 lat,25-35,K,k,1-5 lat,brak,39,inny bank,wynajem,2- 4,niewykfalifikowany stała praca,Uczenie
dobry,>$300,6,brak,używany samochód,2160.2,700-1400,1 do 5 lat,< 15,MR,m,1-5 lat,brak,31,brak,wynajem,jeden,wykfalifikowany,Uczenie
dobry,debet,11,brak,używany samochód,2207.8,700-1400,do roku,< 15,K,k,Do roku,brak,18,brak,wynajem,jeden,wykfalifikowany,Test
dobry,debet,15,spłacone,meble,3819.2,>1400,5 do 8 lat,< 15,MS,m,1-5 lat,brak,33,inny bank,wynajem,5- 6,wykfalifikowany,Uczenie
dobry,>$300,24,bez problemów,inny,1003.8,>1400,Ponad 8,< 15,MŻW,m,>8 lat,polisa,52,brak,wynajem,2- 4,wykfalifikowany,Uczenie
dobry,brak,6,spłacone,inny,1204,brak,Ponad 8,> 35,K,k,>8 lat,nieruchomość,37,brak,wynajem,2- 4,wykfalifikowany,Uczenie
zły,>$300,18,brak,AGD,2720.2,brak,do roku,< 15,K,k,>8 lat,brak,21,brak,wynajem,jeden,wykfalifikowany,Uczenie
zły,brak,36,brak,inny,12979.4,brak,5 do 8 lat,25-35,MS,m,Do roku,polisa,22,brak,wynajem,jeden,wykfalifikowany,Uczenie
dobry,>$300,15,spłacone,meble,1842.4,140-700,1 do 5 lat,25-35,MŻW,m,1-5 lat,samochód,45,brak,wynajem,2- 4,niewykfalifikowany stała praca,Uczenie
dobry,>$300,24,brak,nowy samochód,4883.2,<140,5 do 8 lat,15- 25,K,k,>8 lat,polisa,21,brak,wynajem,jeden,wykfalifikowany,Uczenie
zły,brak,21,brak,meble,2569,brak,1 do 5 lat,15- 25,K,k,1-5 lat,brak,23,brak,wynajem,2- 4,wykfalifikowany,Uczenie
dobry,brak,18,opóźnienia,rehabilitacja,4345.6,brak,5 do 8 lat,15- 25,MS,m,Do roku,samochód,29,inny bank,wynajem,jeden,wykfalifikowany,Uczenie
zły,debet,12,brak,inny,1170.4,<140,do roku,< 15,K,k,1-5 lat,samochód,21,inny bank,wynajem,jeden,niewykfalifikowany stała praca,Test
dobry,>$300,24,brak,używany samochód,7715.4,<140,1 do 5 lat,< 15,MS,m,Do roku,polisa,23,sklep,wynajem,jeden,wykfalifikowany,Test
dobry,<= $300,18,brak,inny,2745.4,brak,Ponad 8,15- 25,K,k,1-5 lat,polisa,21,brak,wynajem,jeden,specjalista/samozatr.,Test
dobry,debet,10,brak,inny,10231.2,brak,bezrobotny,25-35,MS,m,>8 lat,nieruchomość,68,inny bank,własne,jeden,specjalista/samozatr.,Test
dobry,>$300,24,spłacone,meble,3393.6,>1400,Ponad 8,< 15,MS,m,>8 lat,samochód,51,brak,wynajem,2- 4,wykfalifikowany,Uczenie
zły,debet,36,bez problemów,inny,3115,brak,Ponad 8,< 15,MS,m,>8 lat,nieruchomość,55,inny bank,własne,2- 4,wykfalifikowany,Uczenie
dobry,>$300,6,brak,meble,2233,brak,5 do 8 lat,15- 25,MS,m,1-5 lat,samochód,49,brak,wynajem,jeden,wykfalifikowany,Uczenie
zły,debet,48,opóźnienia,business,25793.6,brak,1 do 5 lat,> 35,K,k,1-5 lat,samochód,30,inny bank,wynajem,jeden,specjalista/samozatr.,Uczenie
zły,brak,24,inny bank,używany samochód,9620.8,brak,do roku,25-35,MR,m,Do roku,samochód,53,inny bank,wynajem,jeden,wykfalifikowany,Uczenie
dobry,debet,36,bez problemów,inny,10404.8,brak,1 do 5 lat,25-35,K,k,1-5 lat,samochód,52,brak,inne,jeden,wykfalifikowany,Uczenie
dobry,>$300,30,spłacone,nowy samochód,10634.4,>1400,Ponad 8,> 35,MS,m,>8 lat,polisa,61,brak,wynajem,2- 4,wykfalifikowany,Uczenie
dobry,brak,30,brak,nowy samochód,5399.8,brak,1 do 5 lat,< 15,MR,m,>8 lat,samochód,38,brak,wynajem,jeden,specjalista/samozatr.,Test
dobry,<= $300,10,spłacone,meble,1885.8,>1400,5 do 8 lat,< 15,MS,m,1-5 lat,samochód,25,brak,wynajem,2- 4,wykfalifikowany,Uczenie
dobry,debet,30,brak,meble,4187.4,>1400,Ponad 8,25-35,K,k,>8 lat,polisa,23,brak,wynajem,jeden,wykfalifikowany,Test
dobry,debet,36,brak,remont,5195.4,>1400,1 do 5 lat,25-35,MŻW,m,1-5 lat,polisa,25,brak,wynajem,jeden,wykfalifikowany,Uczenie
dobry,debet,6,bez problemów,rehabilitacja,2028.6,<140,Ponad 8,> 35,MR,m,1-5 lat,polisa,29,inny bank,wynajem,2- 4,wykfalifikowany,Uczenie
dobry,debet,48,inny bank,inny,17036.6,>1400,bezrobotny,< 15,MS,m,>8 lat,nieruchomość,34,brak,własne,jeden,specjalista/samozatr.,Uczenie
zły,brak,12,brak,remont,1113,brak,do roku,< 15,K,k,>8 lat,samochód,51,brak,wynajem,jeden,wykfalifikowany,Uczenie
dobry,>$300,15,brak,nowy samochód,1820,>1400,Ponad 8,< 15,MS,m,>8 lat,nieruchomość,43,inny bank,własne,jeden,wykfalifikowany,Test
dobry,>$300,36,bez problemów,nowy samochód,12525.8,>1400,5 do 8 lat,15- 25,MS,m,1-5 lat,polisa,29,sklep,wynajem,jeden,specjalista/samozatr.,Uczenie
dobry,>$300,24,spłacone,meble,3757.6,brak,1 do 5 lat,< 15,MS,m,1-5 lat,brak,33,brak,wynajem,2- 4,niewykfalifikowany stała praca,Test
dobry,brak,21,spłacone,inny,799.4,brak,Ponad 8,< 15,MS,m,>8 lat,brak,63,brak,wynajem,2- 4,wykfalifikowany,Uczenie
dobry,<= $300,10,brak,RTV,1715,brak,1 do 5 lat,25-35,MS,m,1-5 lat,polisa,35,brak,wynajem,jeden,wykfalifikowany,Uczenie
dobry,debet,27,bez problemów,nowy samochód,8351,brak,Ponad 8,> 35,MS,m,1-5 lat,polisa,28,brak,wynajem,2- 4,specjalista/samozatr.,Uczenie
dobry,>$300,12,spłacone,AGD,1394.4,>1400,5 do 8 lat,< 15,K,k,>8 lat,brak,21,brak,wynajem,2- 4,wykfalifikowany,Uczenie
dobry,>$300,24,brak,meble,2172.8,brak,5 do 8 lat,15- 25,MS,m,Do roku,polisa,30,inny bank,wynajem,jeden,wykfalifikowany,Uczenie
zły,>$300,30,inny bank,nowy samochód,10479,>1400,bezrobotny,< 15,K,k,Do roku,brak,51,inny bank,wynajem,jeden,specjalista/samozatr.,Test
dobry,brak,12,brak,używany samochód,912.8,brak,Ponad 8,< 15,K,k,>8 lat,samochód,22,brak,inne,jeden,wykfalifikowany,Uczenie
dobry,brak,12,spłacone,meble,539,brak,5 do 8 lat,< 15,K,k,5-8 lat,brak,56,brak,wynajem,7 i więcej,niewykfalifikowany stała praca,Uczenie
dobry,debet,12,brak,meble,1528.8,brak,1 do 5 lat,< 15,K,k,>8 lat,brak,47,brak,wynajem,2- 4,wykfalifikowany,Test
dobry,debet,24,bez problemów,rehabilitacja,6596.8,>1400,1 do 5 lat,< 15,MS,m,1-5 lat,samochód,32,inny bank,wynajem,2- 4,specjalista/samozatr.,Test
dobry,>$300,9,spłacone,remont,1741.6,>1400,Ponad 8,< 15,K,k,>8 lat,samochód,39,brak,inne,2- 4,niewykfalifikowany stała praca,Uczenie
dobry,>$300,6,inny bank,meble,2450,140-700,Ponad 8,25-35,MS,m,>8 lat,samochód,43,inny bank,wynajem,jeden,niewykfalifikowany stała praca,Uczenie
dobry,debet,18,brak,rehabilitacja,3670.8,<140,1 do 5 lat,< 15,MS,m,>8 lat,polisa,32,brak,wynajem,jeden,wykfalifikowany,Uczenie
dobry,>$300,9,spłacone,remont,1310.4,140-700,Ponad 8,< 15,MS,m,1-5 lat,polisa,50,brak,wynajem,2- 4,wykfalifikowany,Uczenie
dobry,debet,24,brak,meble,7117.6,>1400,Ponad 8,25-35,K,k,>8 lat,polisa,40,brak,wynajem,jeden,wykfalifikowany,Test
dobry,>$300,36,bez problemów,inny,15225,brak,Ponad 8,25-35,MS,m,1-5 lat,polisa,43,brak,wynajem,2- 4,wykfalifikowany,Test
zły,>$300,48,brak,rehabilitacja,5479.6,>1400,1 do 5 lat,< 15,MR,m,1-5 lat,brak,36,inny bank,wynajem,jeden,wykfalifikowany,Test
dobry,brak,42,brak,używany samochód,11034.8,brak,5 do 8 lat,25-35,MS,m,>8 lat,samochód,43,brak,własne,jeden,wykfalifikowany,Uczenie
zły,>$300,18,brak,meble,606.2,brak,bezrobotny,15- 25,K,k,>8 lat,brak,20,brak,inne,jeden,wykfalifikowany,Uczenie
dobry,>$300,12,spłacone,meble,1003.8,brak,Ponad 8,< 15,MS,m,>8 lat,brak,50,brak,wynajem,5- 6,wykfalifikowany,Test
dobry,>$300,13,brak,meble,1972.6,<140,bezrobotny,25-35,K,k,>8 lat,brak,62,brak,wynajem,jeden,wykfalifikowany,Uczenie
zły,debet,6,inny bank,remont,606.2,700-1400,do roku,< 15,K,k,1-5 lat,samochód,22,inny bank,inne,jeden,wykfalifikowany,Uczenie
dobry,>$300,24,brak,meble,1835.4,<140,5 do 8 lat,< 15,MŻW,m,5-8 lat,samochód,24,brak,wynajem,jeden,wykfalifikowany,Uczenie
dobry,>$300,24,brak,meble,1789.2,brak,Ponad 8,< 15,MS,m,Do roku,brak,34,brak,wynajem,jeden,specjalista/samozatr.,Uczenie
dobry,>$300,24,brak,używany samochód,5560.8,brak,5 do 8 lat,25-35,K,k,>8 lat,samochód,23,brak,inne,jeden,wykfalifikowany,Test
zły,brak,6,spłacone,używany samochód,4737.6,brak,1 do 5 lat,> 35,MR,m,>8 lat,brak,42,brak,inne,jeden,specjalista/samozatr.,Uczenie
dobry,>$300,6,brak,meble,1884.4,<140,Ponad 8,25-35,MS,m,>8 lat,nieruchomość,40,inny bank,własne,jeden,wykfalifikowany,Uczenie
dobry,brak,24,brak,nowy samochód,4149.6,>1400,Ponad 8,< 15,MS,m,>8 lat,nieruchomość,47,inny bank,własne,jeden,wykfalifikowany,Test
dobry,debet,24,spłacone,meble,2440.2,brak,Ponad 8,< 15,MS,m,1-5 lat,samochód,46,brak,wynajem,2- 4,niewykfalifikowany stała praca,Uczenie
dobry,>$300,18,spłacone,meble,2214.8,700-1400,Ponad 8,< 15,MS,m,>8 lat,polisa,44,brak,wynajem,2- 4,wykfalifikowany,Uczenie
zły,debet,24,brak,inny,1897,brak,do roku,15- 25,K,k,>8 lat,polisa,23,brak,wynajem,jeden,niewykfalifikowany stała praca,Uczenie
dobry,>$300,24,spłacone,używany samochód,2219,brak,5 do 8 lat,< 15,MS,m,5-8 lat,samochód,38,brak,wynajem,2- 4,wykfalifikowany,Test
dobry,>$300,12,brak,inny,896,brak,1 do 5 lat,< 15,MR,m,1-5 lat,brak,47,brak,wynajem,jeden,niewykfalifikowany stała praca,Uczenie
dobry,>$300,6,spłacone,meble,2175.6,brak,5 do 8 lat,> 35,K,k,1-5 lat,polisa,22,brak,inne,2- 4,wykfalifikowany,Uczenie
zły,>$300,12,bez problemów,AGD,2177,700-1400,Ponad 8,< 15,MS,m,>8 lat,nieruchomość,53,brak,własne,2- 4,wykfalifikowany,Uczenie
dobry,>$300,24,spłacone,rehabilitacja,5794.6,<140,1 do 5 lat,15- 25,MS,m,5-8 lat,samochód,25,brak,wynajem,2- 4,niewykfalifikowany stała praca,Uczenie
zły,debet,21,brak,rehabilitacja,3873.8,<140,Ponad 8,< 15,MR,m,1-5 lat,polisa,59,brak,inne,2- 4,niewykfalifikowany stała praca,Uczenie
dobry,>$300,12,spłacone,meble,3263.4,>1400,Ponad 8,> 35,MS,m,>8 lat,brak,47,brak,wynajem,jeden,wykfalifikowany,Uczenie
dobry,>$300,9,brak,używany samochód,1838.2,brak,Ponad 8,> 35,MS,m,>8 lat,polisa,18,brak,wynajem,jeden,wykfalifikowany,Test
dobry,debet,26,brak,nowy samochód,11152.4,brak,do roku,25-35,MS,m,5-8 lat,polisa,28,brak,wynajem,2- 4,wykfalifikowany,Test
dobry,brak,24,spłacone,nowy samochód,9261,brak,bezrobotny,25-35,MS,m,>8 lat,nieruchomość,73,brak,własne,2- 4,specjalista/samozatr.,Uczenie
zły,brak,30,brak,używany samochód,8890,>1400,Ponad 8,< 15,MS,m,>8 lat,samochód,29,brak,wynajem,jeden,wykfalifikowany,Uczenie
zły,debet,24,brak,inny,3805.2,brak,1 do 5 lat,15- 25,K,k,>8 lat,samochód,18,brak,inne,jeden,niewykfalifikowany stała praca,Uczenie
dobry,>$300,4,spłacone,meble,2161.6,brak,5 do 8 lat,25-35,MS,m,Do roku,brak,40,brak,wynajem,5- 6,niewykfalifikowany stała praca,Uczenie
zły,brak,24,brak,inny,1933.4,>1400,1 do 5 lat,< 15,K,k,1-5 lat,samochód,33,brak,wynajem,jeden,wykfalifikowany,Uczenie
zły,debet,48,brak,używany samochód,13944,brak,do roku,> 35,K,k,1-5 lat,polisa,24,inny bank,wynajem,jeden,wykfalifikowany,Uczenie
dobry,debet,18,brak,nowy samochód,3890.6,brak,1 do 5 lat,> 35,MŻW,m,5-8 lat,polisa,19,brak,inne,jeden,wykfalifikowany,Uczenie
dobry,brak,24,inny bank,używany samochód,3959.2,140-700,1 do 5 lat,< 15,MS,m,>8 lat,brak,20,sklep,wynajem,jeden,wykfalifikowany,Uczenie
zły,brak,48,brak,inny,10868.2,brak,Ponad 8,< 15,MS,m,>8 lat,nieruchomość,40,inny bank,własne,jeden,specjalista/samozatr.,Test
dobry,>$300,11,brak,rehabilitacja,2998.8,700-1400,Ponad 8,> 35,MR,m,1-5 lat,brak,26,brak,wynajem,jeden,wykfalifikowany,Uczenie
dobry,>$300,24,brak,meble,1978.2,brak,1 do 5 lat,< 15,MŻW,m,1-5 lat,samochód,26,brak,wynajem,jeden,wykfalifikowany,Test
dobry,>$300,21,brak,inny,3894.8,140-700,5 do 8 lat,> 35,K,k,1-5 lat,polisa,29,inny bank,wynajem,jeden,specjalista/samozatr.,Uczenie
dobry,<= $300,6,spłacone,inny,1880.2,brak,Ponad 8,> 35,MS,m,>8 lat,brak,44,brak,wynajem,2- 4,wykfalifikowany,Test
zły,debet,12,brak,inny,959,brak,5 do 8 lat,25-35,MŻW,m,5-8 lat,polisa,23,inny bank,wynajem,jeden,niewykfalifikowany stała praca,Test
zły,debet,48,brak,rehabilitacja,21940.8,brak,1 do 5 lat,25-35,MS,m,1-5 lat,polisa,21,brak,wynajem,jeden,wykfalifikowany,Uczenie
dobry,brak,12,brak,używany samochód,2319.8,brak,1 do 5 lat,25-35,MS,m,1-5 lat,brak,25,brak,wynajem,jeden,wykfalifikowany,Test
zły,debet,12,brak,używany samochód,1331.4,<140,do roku,< 15,K,k,>8 lat,polisa,25,inny bank,inne,7 i więcej,wykfalifikowany,Uczenie
zły,brak,36,brak,używany samochód,7250.6,brak,5 do 8 lat,< 15,MS,m,1-5 lat,samochód,27,brak,wynajem,jeden,wykfalifikowany,Uczenie
dobry,debet,18,opóźnienia,używany samochód,4541.6,brak,1 do 5 lat,> 35,K,k,>8 lat,polisa,31,inny bank,wynajem,2- 4,wykfalifikowany,Test
zły,debet,30,spłacone,używany samochód,11740.4,brak,5 do 8 lat,25-35,MS,m,1-5 lat,samochód,47,brak,wynajem,jeden,wykfalifikowany,Test
zły,brak,36,spłacone,nowy samochód,13480.6,brak,5 do 8 lat,< 15,MS,m,>8 lat,polisa,22,brak,wynajem,2- 4,wykfalifikowany,Uczenie
dobry,>$300,24,spłacone,rehabilitacja,6336.4,brak,1 do 5 lat,15- 25,MS,m,1-5 lat,brak,72,brak,wynajem,jeden,specjalista/samozatr.,Uczenie
dobry,>$300,24,spłacone,używany samochód,5287.8,700-1400,1 do 5 lat,< 15,MS,m,>8 lat,brak,38,brak,wynajem,jeden,wykfalifikowany,Uczenie
dobry,<= $300,10,brak,inny,5528.6,brak,do roku,> 35,MS,m,Do roku,samochód,35,brak,wynajem,jeden,niewykfalifikowany stała praca,Uczenie
dobry,debet,45,spłacone,nowy samochód,6406.4,<140,bezrobotny,15- 25,MS,m,>8 lat,polisa,25,brak,wynajem,jeden,wykfalifikowany,Test
dobry,>$300,24,spłacone,AGD,7709.8,brak,Ponad 8,15- 25,MS,m,>8 lat,nieruchomość,42,brak,własne,2- 4,wykfalifikowany,Uczenie
zły,debet,24,brak,meble,2854.6,brak,do roku,> 35,MŻW,m,Do roku,samochód,20,brak,wynajem,jeden,wykfalifikowany,Test
dobry,brak,9,brak,meble,1909.6,brak,5 do 8 lat,15- 25,MS,m,>8 lat,brak,57,brak,wynajem,jeden,wykfalifikowany,Test
zły,debet,60,brak,inny,19637.8,brak,5 do 8 lat,< 15,MS,m,1-5 lat,nieruchomość,25,brak,wynajem,jeden,specjalista/samozatr.,Uczenie
dobry,debet,12,brak,inny,10460.8,>1400,bezrobotny,> 35,K,k,1-5 lat,brak,22,brak,inne,jeden,niewykfalifikowany bez stałej pracy,Uczenie
dobry,>$300,30,brak,meble,3266.2,140-700,Ponad 8,< 15,MS,m,1-5 lat,polisa,28,inny bank,wynajem,jeden,specjalista/samozatr.,Test
